c_msgsize_count,c_pktsize6,c_msgsize4,s_msgsize4,s_pktsize2,s_rtt_cnt,s_rtt_std,s_msgsize5,c_msgsize6,c_sit3,class
7,837,871,516,516,7,8.607093,516,837,42074.944,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
35,485,85,69,1418,2,0.0,597,485,2.837,google
8,405,85,69,1418,2,0.0,325,405,3.141,google
18,931,50,56,1430,2,0.0,42,931,2.087,google
2,0,0,0,56,3,4.409362,0,0,0.0,google
9,38,50,38,56,2,0.0,46,38,1.0,google
8,30,42,34,1418,1,0.0,30,30,2.418,google
8,30,42,48,1418,1,0.0,34,30,1.598,google
8,30,42,48,1418,1,0.0,34,30,2.199,google
8,30,42,48,1418,1,0.0,34,30,1.259,google
8,1448,50,246,600,1,0.0,98,1615,1.452,google
3,1242,0,0,343,5,2.064389,0,0,9.327,google
41,42,50,56,1430,2,0.0,42,38,1761.507,google
2,0,0,0,0,3,1.647519,0,0,0.0,google
10,288,1706,1413,1418,7,14.780893,1413,1594,4.919,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,0,2,0.0,0,0,45028.729,google
19,50,45,56,1418,1,0.0,42,50,1.07,google
0,0,0,0,0,2,0.0,0,0,0.0,google
4,432,1850,757,1077,5,16.512767,0,0,7.129,google
6,1418,2021,0,389,4,74.368983,0,53,44.843,google
7,30,76,34,1418,1,0.0,30,1379,2.014,google
0,0,0,0,0,2,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,1,0,0,0,3,30.30716,0,0,10037.205,google
24,50,45,56,1418,2,0.0,42,50,1.387,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
0,0,0,0,0,2,0.0,0,0,0.0,google
2,0,0,56,1430,2,0.0,42,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,30,42,48,1418,1,0.0,34,30,2.155,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
3,0,0,0,1418,4,9.438938,0,0,0.0,google
4,0,570,0,773,5,14.470155,0,0,179.035,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
91,46,907,38,56,2,0.0,274,46,20.397,google
15,1418,37,310,49,3,1.615527,1418,1498,2.545,google
8,1418,42,48,1418,1,0.0,34,1593,2.698,google
8,30,42,48,1418,2,0.0,34,30,1.711,google
46,751,37,37,1418,7,13.650014,310,751,9.389,google
6,46,323,38,56,2,0.0,316,46,6.456,google
4,0,38,38,56,3,3.946885,0,0,112.104,google
11,390,53,38,56,2,0.0,286,390,2.145,google
6,1418,37,266,49,2,0.0,29,2139,2.417,google
8,1418,50,56,1418,1,0.0,42,1549,1.121,google
7,1418,37,319,49,3,0.911334,1418,1539,2.504,google
0,0,0,0,0,2,0.0,0,0,0.0,google
16,635,2053,85,629,5,20.0883,1061,2053,39.853,google
0,0,0,0,0,2,0.0,0,0,0.0,google
32,50,45,42,1418,3,9.385617,38,50,2.114,google
2,0,0,0,49,2,0.0,0,0,0.0,google
1,0,0,0,1418,0,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
2,0,0,0,160,0,0.0,0,0,0.0,google
30,69,85,69,1418,2,0.0,309,661,2.804,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,1418,42,48,1418,1,0.0,34,1572,1.442,google
0,0,0,0,0,0,0.0,0,0,0.0,google
0,0,0,0,0,0,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
0,0,0,0,0,1,0.0,0,0,0.0,google
0,0,0,0,0,1,0.0,0,0,0.0,google
2,0,0,0,56,1,0.0,0,0,0.0,google
5,0,554,505,1418,5,82.268003,505,0,885.316,google
8,30,42,48,1418,1,0.0,34,30,3.517,google
2,0,0,56,1418,1,0.0,42,0,0.0,google
8,30,42,48,1418,1,0.0,34,30,8.91,google
1,0,0,0,0,3,0.864701,0,0,0.0,google
0,0,0,0,0,1,0.0,0,0,0.0,google
1,0,0,0,0,3,46.141004,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
3,0,0,59,1418,3,0.510414,757,0,6.174,google
8,30,42,48,1418,1,0.0,34,30,2.174,google
1,0,0,0,0,3,89.620676,0,0,0.0,google
2,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,1348,50,56,1348,1,0.0,42,1617,4.059,google
1,0,0,0,1418,0,0.0,0,0,0.0,google
17,1418,42,30,48,2,0.0,245,1475,2.434,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
0,0,0,0,0,1,0.0,0,0,0.0,google
8,30,42,48,1418,2,0.0,34,30,1.914,google
8,1418,42,34,1418,1,0.0,30,1430,1.455,google
8,1439,42,238,600,1,0.0,82,1439,2.189,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,1418,42,34,1418,2,0.0,30,1561,2.108,google
8,275,42,48,1418,1,0.0,34,275,2.694,google
8,1418,42,48,1418,1,0.0,34,1888,3.255,google
1,0,0,0,0,2,0.0,0,0,0.0,google
13,1393,1393,1308,893,9,69.03715,1878,1394,2368.779,google
1,0,0,0,0,3,3.146922,0,0,0.0,google
5,1,30,34,1430,1,0.0,30,0,128.233,google
27,95,661,1430,995,25,6.807096,1430,322,719.144,google
3,0,0,0,516,4,42.921104,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,406,50,38,56,3,2.183142,316,406,1.15,google
8,1418,42,48,1418,1,0.0,34,1465,2.417,google
83,46,38,38,56,3,9.054388,253,46,45.961,google
0,0,0,0,0,2,0.0,0,0,0.0,google
0,0,0,0,0,2,0.0,0,0,0.0,google
1,0,0,0,0,1,0.0,0,0,0.0,google
2,0,0,0,637,4,6.172513,0,0,0.0,google
2,0,0,48,1418,1,0.0,34,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
10,30,42,48,1418,2,0.0,34,30,12.762,google
8,30,42,48,1418,1,0.0,34,30,2.19,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
6,207,106,48,1418,1,0.0,34,38,2.478,google
0,0,0,0,0,2,0.0,0,0,0.0,google
20,33,37,266,49,3,0.66038,29,33,2.103,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
46,50,45,56,1418,1,0.0,42,50,2.168,google
82,115,415,42,1430,3,5.032775,38,115,4.658,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,30,42,48,1418,1,0.0,34,30,1.587,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
